学科,技能名称,子分类,skills类型,简介,tool_chain_key,实现情况
生物医药,BiGG代谢物获取工具,数据分析,脚本,获取详细的代谢物信息，包括分子式、亚细胞区室和数据库交叉引用。可从特定模型或通用数据库查询。返回代谢物名称、分子式、区室位置以及指向KEGG、MetaCyc、HMDB、ChEBI的链接。显示包含该代谢物的模型。用途：化合物鉴定、分子式查询、数据库整合、代谢物注释。是理解代谢网络的关键工具。,bigg,未实现
生物医药,BiGG反应获取工具,数据分析,脚本,获取详细反应信息，包括化学计量学、代谢物、基因-反应规则和数据库链接。可从特定模型或通用数据库查询。返回反应方程式、带系数的参与代谢物、GPR（基因-蛋白质-反应）关联、边界条件及交叉引用（KEGG、MetaCyc、BRENDA）。用途：理解反应机制、基因关联、通量约束、途径分析。是代谢建模的必备工具。,bigg,未实现
生物医药,BiGG搜索,数据分析,脚本,在BiGG数据库中搜索模型、反应、代谢物或基因。返回带有ID、名称和生物信息的匹配条目。搜索类型：模型（查找生物）、反应（查找生化反应）、代谢物（查找化合物）、基因（查找基因名称/ID）。用途：发现、查找特定实体、跨模型搜索、识别通路。可对整个数据库进行灵活搜索。,bigg,未实现
生物医药,BiGG数据库版本获取工具,数据分析,脚本,获取BiGG Models数据库版本及最后更新日期。返回BiGG版本号、API版本和数据库最后更新时间戳。用途：检查数据时效性、版本控制、文档记录、可重复性。用于确保使用最新的代谢模型数据。,bigg,未实现
生物医药,BiGG模型列表,数据分析,脚本,获取BiGG数据库中所有基因组规模代谢模型的列表（85+个模型）。返回模型ID、生物体、反应数量、代谢物数量和基因数量，涵盖细菌、古菌和真核生物。模型包括大肠杆菌、酵母、人类及其他生物体。用途：发现可用模型、查找特定生物体模型、比较模型规模、代谢建模项目。是通量平衡分析的必要第一步。,bigg,未实现
生物医药,BiGG模型获取工具,数据分析,脚本,获取特定代谢模型的详细信息。返回生物、基因组登录号、反应/代谢物/基因数量以及文献参考（PMID）。用途：了解模型范围、检查模型时效性、查找文献、模型选择。下载或分析模型前的必要元数据。示例模型ID：iJO1366（大肠杆菌）、iMM904（酿酒酵母）、Recon3D（人类）。,bigg,未实现
生物医药,BioGPT,文本处理,模型,可用于生物医学命名实体识别、关系提取、文本摘要、对话生成等任务。（磐石：接入中...）,bioGPT,未实现
生物医药,BioGraph,数据可视化,脚本,专为基因表达数据和生物信息分析设计的可视化工具，可用于生成基因表达热图、PCA降维图等。（磐石：支持对话调用）,bioGraph,未实现
生物医药,BioStudies按集合搜索,数据分析,脚本,按特定集合搜索BioStudies（例如ArrayExpress、BioImages、EuropePMC）。集合是BioStudies内针对特定数据类型或领域精心整理的数据集。HTML响应会自动转换为Markdown格式。,biostudies,未实现
生物医药,BioStudies研究全文搜索,数据分析,脚本,搜索BioStudies存储库中的所有集合中的生物学研究。BioStudies是EMBL-EBI的一个综合存储库，托管多种研究类型，包括基因组学、转录组学、蛋白质组学、成像数据等。支持带分页和排序的全文搜索。HTML响应会自动使用markitdown转换为Markdown。,biostudies,未实现
生物医药,BioStudies研究详情查询,数据分析,脚本,通过 accession number 获取特定 BioStudies 研究的详细信息。返回包括属性、章节、文件和链接在内的完整研究元数据。支持多种 accession 格式（例如 ArrayExpress 的 S-BSST123、E-GEOD-12345）。HTML 响应会转换为 Markdown。,biostudies,未实现
生物医药,BioStudies获取实验数据,数据分析,脚本,通过实验ID获取BioStudies平台中特定实验的详细信息（注：原ArrayExpress数据库已整合至BioStudies平台，部分实验ID可能无法通过此接口访问）。若存在则返回完整的实验元数据。,biostudies,未实现
生物医药,CDC社会脆弱性指数数据集信息查询,数据分析,脚本,获取CDC社会脆弱性指数（SVI）数据相关信息。SVI数据通常可从CDC ATSDR网站下载为CSV文件。该工具提供可用SVI数据集及下载链接信息。注意：实际数据检索可能需要下载CSV文件。,cdc,未实现
生物医药,CELLxGENE_census版本获取,数据分析,脚本,获取可用的CELLxGENE Census版本列表，包含发布日期和描述。该Census包含来自5000万+细胞（人类、小鼠、非人灵长类）的单细胞RNA测序数据。最新长期支持版本：2025-11-08。前提条件：需要安装 'cellxgene-census' 包（安装命令：pip install tooluniverse[singlecell]）。用途：检查可用数据版本、选择稳定版或最新版、了解数据更新。,cellxgeneCensus,未实现
生物医药,CELLxGENE获取基因元数据,数据分析,脚本,从CELLxGENE Census查询基因（可变）元数据。返回基因符号、Ensembl ID、特征类型和汇总统计信息。可按基因名称、特征类型或表达特征进行筛选。用途：查找感兴趣的基因、验,cellxgene,未实现
生物医药,CIViC临床声明检索,数据分析,脚本,在CIViC数据库中检索临床声明。临床声明是整合多项证据的高层次临床解读，形成关于临床可行性的正式陈述。返回包含描述及相关分子特征或变异的声明列表。,civic,未实现
生物医药,CIViC变异查询,数据分析,脚本,在CIViC数据库中检索变异信息，返回包含变异ID和名称的列表，变异代表具有癌症临床意义的特定基因改变。,civic,未实现
生物医药,ChEMBL疾病靶点关联评分,数据分析,脚本,从ChEMBL数据库中提取疾病与靶点的关联评分。ChEMBL提供药物-靶点相互作用的生物活性数据。,chembl,未实现
生物医药,ChIPAtlas_获取峰数据,数据分析,脚本,获取ChIP-Atlas峰调用数据的下载URL，数据格式包括BigWig、BED或BigBed。BigWig包含基于RPM（每百万读取数）的覆盖分数，BED/BigBed包含使用MACS2（基于模型的ChIP-Seq分析）峰调用器得到的峰区域及分数。用途：下载原始数据、与基因组浏览器（UCSC、IGV）集成、自定义分析、可视化。,chipatlas,未实现
生物医药,ChIPAtlas实验获取工具,数据分析,脚本,搜索ChIP-Atlas实验元数据，包括实验ID、抗原、细胞类型和处理统计信息。可按基因组、抗原（转录因子/组蛋白）或细胞类型筛选。返回含SRX/ERX/DRX ID的实验详情。用途：查找相关实验、获取实验元数据、数据集发现、批量分析规划。,chipatlas,已实现
生物医药,ChIPAtlas富集分析,数据分析,脚本,"执行富集分析以识别数据中富集的转录因子和组蛋白修饰。**需提供一种输入类型** - (1) BED基因组区域，(2) DNA序列基序（IUPAC表示法：A/T/G/C/W/S/M/K/R/Y/B/D/H/V/N），或(3) 基因符号列表。将您的输入与433,000+个ChIP-seq/ATAC-seq/亚硫酸氢盐测序实验进行比较，以识别显著富集。返回与您的区域/基序结合或调控您的基因的蛋白质的排名列表。注意：返回提交URL（基于网页表单的分析）。用途：识别基因组区域的调…",chipatlas,未实现
生物医药,ClinVar 数据库查询,信息检索,数据库调用,快速检索遗传变异的临床相关信息。（磐石：支持对话调用）,clinvar,未实现
生物医药,ClinVar 数据库查询,信息检索,脚本,快速检索遗传变异的临床相关信息。,clinvar,未实现
生物医药,DGIdb获取基因详细信息,数据分析,脚本,从DGIdb数据库获取基因的详细信息，包括别名、类别和相互作用计数。,dgidb,未实现
生物医药,DiffDock,预测与建模,模型,预测分子与蛋白质相互作用的 3D 结构。（磐石：接入中...）,diffDoc,未实现
生物医药,DiffSBDD,预测与建模,模型,基于扩散模型的结构驱动药物设计工具，可自动生成与蛋白结合口袋高度匹配的小分子配体。（磐石：支持对话调用）,diffSBDD,未实现
生物医药,DrugBank词汇过滤,数据分析,脚本,根据特定字段条件筛选DrugBank词汇数据集。使用简单的字段-值对按药物属性（如名称、ID和化学标识符）进行筛选。,drugbank,未实现
生物医药,EBI数据库检索,数据分析,脚本,通过统一的EBI搜索API在特定EBI领域（如ensembl、uniprot、interpro等）进行检索。返回包含元数据的搜索结果。可用于检索160+个EBI数据资源。,ebi,未实现
生物医药,ENCODE数据文件列表,数据分析,脚本,根据文件格式、输出类型或实验方法筛选ENCODE数据文件。返回文件元数据，包括编号、格式（FASTQ、BAM、bigWig）、输出类型（比对、峰图、信号）及文件大小。用于编程方式发现特定实验或数据类型的可下载文件。获取文件编号后可结合ENCODE_get_file工具查询详细文件信息及下载链接。,encode,未实现
生物医药,ESM-Variants,预测与建模,模型,交互式可视化蛋白质序列中的氨基酸变化。（磐石：接入中...）,esmVariants,未实现
生物医药,ESM3,预测与建模,模型,模拟蛋白质进化，多模态生成新型蛋白。（磐石：支持对话调用）,esm3,未实现
生物医药,ESMFold,预测与建模,模型,根据蛋白质的氨基酸序列预测其三维结构，预测速度快，适合快速分析蛋白质。（磐石：支持对话调用）,ESMFold,未实现
生物医药,Ensembl GO术语后代查询,数据分析,脚本,获取GO（基因本体）术语的后代术语。返回本体层次结构中更具体的生物学概念的子术语。用于查找相关的具体术语和扩展查询。,ensemblGo,未实现
生物医药,Ensembl VEP区域版,数据分析,脚本,基因组变异的变异效应预测器（VEP）。预测变异对基因、转录本和蛋白质的功能影响。返回SIFT/PolyPhen评分、变异类型和受影响的转录本。是变异解读的关键工具。,ensemblVep,未实现
生物医药,Ensembl分类学获取工具,数据分析,脚本,获取物种的分类学信息。返回从界到种水平的完整谱系，包含学名和分类学ID。有助于了解物种关系和按分类群筛选。,ensembl,未实现
生物医药,Ensembl历史基因信息查询,数据分析,脚本,通过稳定ID获取历史（归档）基因信息。返回所有Ensembl版本中的基因位置和状态。用于跟踪基因ID变化、基因组组装更新或检索旧版Ensembl版本的信息。,ensembl,未实现
生物医药,Ensembl同源获取工具,数据分析,脚本,通过基因符号获取物种间基因的同源关系（直系同源和旁系同源）。返回包含基因ID、蛋白质ID、染色体位置和同源类型（1对1、1对多等）的进化关系。是比较基因组学研究的必备工具。,ensembl,未实现
生物医药,Ensembl本体术语获取工具,数据分析,脚本,获取特定本体术语（GO、SO、HPO）的详细信息，返回术语名称、定义、同义词及关系，用于理解生物概念和验证术语使用。,ensembl,未实现
生物医药,Ensembl物种信息查询,数据分析,脚本,获取物种信息或列出Ensembl中所有可用物种。返回学名、常用名、组装详情和数据库版本。不提供ID时列出所有物种（200+可用）。,ensembl,未实现
生物医药,Ensembl获取GO术语祖先查询,数据分析,脚本,获取GO（基因本体论）术语的祖先术语。返回本体层次结构中更广泛的生物学概念的父术语。用于理解术语关系并进行层次分析。,ensemblGo,未实现
生物医药,Ensembl重叠特征获取工具,数据分析,脚本,获取与某一区域重叠的基因组特征（基因、转录本、重复序列）。返回包括编码基因、非编码RNA、假基因和结构特征在内的综合注释。用于基因组注释和特征发现。,ensembl,未实现
生物医药,Evo2,预测与建模,模型,生物学基础模型，能够整合长基因组序列的信息，同时保持对单核苷酸变化的敏感性。（磐石：支持对话调用）,evo2,未实现
生物医药,FDA_按病症检索需医生咨询的药物名称,数据分析,脚本,检索因患者特定病症和症状而需咨询医生后使用的药物名称。警告：本工具仅输出预定义的有限数量药物名称，不涵盖所有可能药物。谨慎使用。,fda,未实现
生物医药,FDA_按药品名称查询医生药剂师咨询信息,数据分析,脚本,获取特定药物的药物相互作用相关咨询医生或药剂师的信息,fda,未实现
生物医药,FDA_按药品名称获取医疗保健提供者信件信息,数据分析,脚本,根据药品名称获取亲爱的医疗保健提供者信件信息。这些信件由药品制造商发送，以提供关于该药品的新信息或更新信息。,fda,未实现
生物医药,FDA_按药品名称获取宠物主人/护理人员信息,数据分析,脚本,根据药品名称为宠物主人或护理人员检索特定信息,fda,未实现
生物医药,FDA_按药品名获取医生咨询条件信息,数据分析,脚本,根据药品名称获取医生咨询前用药条件信息,fda,未实现
生物医药,FDA药品标签字段检索,数据分析,脚本,"通过指定FDA药品标签字段及其值检索标签信息（格式为字段:值）。此为通用字段查询工具。使用`return_fields`参数选择返回的字段/章节，或传入""ALL""获取完整标签记录。",fda,未实现
生物医药,FDA药物基因组生物标志物查询,数据分析,脚本,从FDA药物标签中检索药物基因组生物标志物。该工具获取FDA网站上的药物标签中药物基因组生物标志物表，并支持按药物名称或生物标志物进行筛选。,fda,未实现
生物医药,FDA获取DEA管制类别信息（按药品名）,数据分析,脚本,根据药品名称检索受控物质的美国药品管理局（DEA）管制类别信息,fdaDea,未实现
生物医药,FDA获取所有者或护理人员药品名称工具,数据分析,脚本,根据所有者或护理人员的信息检索药品名称,fda,未实现
生物医药,FDA通过DHCP字母信息获取药品名称,数据分析,脚本,根据医药保健提供者信函信息获取药品名称。这些信函由药品制造商发送，用于提供药品的新信息或更新信息。,fdaDhcp,未实现
生物医药,FourDN数据搜索工具,数据分析,脚本,搜索4DN数据门户中的Hi-C染色质构象文件和实验。访问来自多种技术（原位Hi-C、捕获Hi-C、Micro-C XL）的350+个统一处理的Hi-C接触文件。可按检测类型、细胞类型或关键词进行搜索。返回包含下载URL的文件元数据。注意：下载需要免费的4DN账户（在data.4dnucleome.org创建）。用途：查找Hi-C数据集、发现3D基因组数据、访问拓扑关联结构域（TAD）边界、A/B compartments、染色质环调用。,fourdn,未实现
生物医药,FourDN获取下载URL,数据分析,脚本,获取4DN文件的下载URL和DRS（数据存储库服务）API端点。前提条件：(1) 需要文件编号 - 通过使用FourDN_search_data（item_type='File'）获取。(2) 需要免费的4DN账户 - 在data.4dnucleome.org创建账户，然后在个人资料设置中生成访问密钥。返回下载URL和使用curl进行命令行访问的说明。支持GA4GH DRS标准以实现互操作性。用途：程序化文件下载、批处理、工作流集成。,fourdnUrl,未实现
生物医药,GDC文件列表,数据分析,脚本,根据数据类型等字段筛选GDC文件列表，用于识别可下载的分析数据文件（如基因表达定量数据）。,gdc,未实现
生物医药,GEO 数据库查询,信息检索,数据库调用,快速检索基因表达数据的重要数据库。（磐石：支持对话调用）,geo,未实现
生物医药,GO术语ID检索工具,数据分析,脚本,使用GOlr通过ID检索基本的GO术语信息,goId,未实现
生物医药,GTEx_eQTL基因获取工具,数据分析,脚本,获取具有显著顺式eQTL的eQTL基因（eGenes）。返回在指定组织中至少具有一个显著表达数量性状位点（eQTL）的基因，包括等位基因折叠变化、p值、q值（FDR < 0.05）和效应大小。可按组织筛选或获取所有eGenes。用途：识别受遗传调控的基因、寻找组织特异性eQTL、研究调控变异、遗传关联研究。是理解基因表达遗传控制的关键工具。,gtexEqtl,未实现
生物医药,GTEx中位基因表达获取工具,数据分析,脚本,获取GTEx组织中的中位基因表达水平。返回54个组织部位中一个或多个基因的中位TPM（每百万转录本）表达量。可按特定组织筛选或获取所有组织的表达量。基于成人GTEx V11（2026年1月）。用途：组织特异性表达谱分析、鉴定高表达基因、比较组织间表达模式。示例：获取TP53基因在脑和肝脏中的表达。,gtex,未实现
生物医药,GTEx单组织eQTL获取工具,数据分析,脚本,获取显著的单组织eQTL关联。返回预计算的基因-变异关联，包含p值、效应量（NES）和基因组位置。支持通过基因ID、变异ID、组织或组合进行查询。结果显示特定组织中哪些遗传变异影响基因表达。用途：寻找候选基因的eQTL、查询变异效应、组织特异性调控分析、GWAS后续研究。必须提供至少一个筛选条件：gencode_id、variant_id或tissue_site_detail_id。,gtexEqtl,未实现
生物医药,GTEx基因表达获取工具,数据分析,脚本,获取个体样本水平的基因表达数据（非聚合）。返回每个样本的标准化表达值（TPM），支持详细分布分析。可按供体属性（性别、年龄组）进行子集化以开展特定人群分析。相比中位数表达，数据量更大。用途：表达变异性分析、异常值检测、样本水平质量控制、人群比较。注意：多基因/组织时结果集较大。,gtex,未实现
生物医药,GTEx多组织eQTL获取工具,数据分析,脚本,获取多组织eQTL荟萃分析结果（Metasoft方法）。返回基因-变异对在所有组织中的m值（每个组织中eQTL效应的后验概率）、标准化效应量、p值和标准误，展示eQTL效应的组织共享模式。用途：理解eQTL的组织特异性、寻找共享或组织特异性效应、跨组织荟萃分析、调控机制研究。需提供gencode_id，可选择按variant_id过滤。,gtexEqtl,未实现
生物医药,GTEx数据集信息获取工具,数据分析,脚本,获取GTEx数据集元数据和版本信息。返回包括GENCODE版本、基因组构建（GRCh38/hg38）、dbSNP构建、样本数量、组织数量和发布信息在内的数据集详情。默认显示成人GTEx V11（2026年1月）的详细信息。用途：了解数据版本、检查样本量、验证基因组构建、文档记录。使用前先检查以了解可用数据。,gtex,未实现
生物医药,GTEx样本信息获取工具,数据分析,脚本,获取详细的GTEx样本和受试者元数据。返回样本ID、组织类型、捐赠者人口统计学信息（年龄、性别）、缺血时间、RIN评分、Hardy量表、病理记录和质量控制指标。可按样本ID、受试者ID、组织、人口统计学信息或数据类型进行筛选。用途：样本选择、队列设计、质量控制筛选、人口统计学分析、理解数据来源。对于选择合适的分析样本至关重要。,gtex,未实现
生物医药,GTEx组织位点获取工具,数据分析,脚本,获取所有可用的GTEx组织位点及其元数据。返回54个非患病组织位点的组织ID、名称、样本数量、e基因数量和颜色代码。包含RNA-seq样本摘要及供体年龄和性别统计。用途：发现可用组织、查询组织ID、检查样本量、了解组织覆盖范围。查询组织特异性数据前的必要第一步。,gtex,未实现
