学科,技能名称,子分类,skills类型,简介,tool_chain_key
生物信息学基础,Pub Med Database,数据分析,数据库调用,磐石 ToolChain 工具「Pub Med Database」（pubMedDatabase）。,pubMedDatabase
生物信息学基础,UCSCGenome Browser,数据分析,数据库调用,磐石 ToolChain 工具「UCSCGenome Browser」（UCSCGenomeBrowser）。,UCSCGenomeBrowser
生物信息学基础,数据库条目获取与保存工具,数据分析,数据库调用,从 Materials Project 拉取 ComputedEntry 列表（可指定化学体系或单个材料 ID），并生成 .pkl 文件，上传后返回文件的下载 URL。,computedEntryList
生物信息学基础,组分性质获取工具,数据分析,脚本,计算指定化学式中某元素的总分子量、摩尔数、原子分数和质量分数等信息。,constitutiveProperty
生物医药,AlphaFold2,预测与建模,模型,根据蛋白质的氨基酸序列预测其三维结构。,AlphaFold2
生物医药,Alpha Fold2Multimer,预测与建模,模型,磐石 ToolChain 工具「Alpha Fold2Multimer」（AlphaFold2Multimer）。,AlphaFold2Multimer
生物医药,DiffDock,预测与建模,模型,预测分子与蛋白质相互作用的 3D 结构。,diffDoc
生物医药,ESM3,预测与建模,模型,模拟蛋白质进化，多模态生成新型蛋白。,esm3
生物医药,ESMFold,预测与建模,模型,根据蛋白质的氨基酸序列预测其三维结构，预测速度快，适合快速分析蛋白质。,ESMFold
生物医药,MRNASequence Retrieval,数据分析,纯prompt,磐石 ToolChain 工具「MRNASequence Retrieval」（MRNASequenceRetrieval）。,MRNASequenceRetrieval
生物医药,RFdiffusion,预测与建模,模型,用于蛋白质结合剂设计的蛋白质骨架生成模型。,rFdiffusion
生物医药,RNAFold,预测与建模,脚本,基于最小自由能原理，预测 RNA 分子的二级结构。,rnaFold
生物医药,RNAPreview,数据分析,纯prompt,磐石 ToolChain 工具「RNAPreview」（RNAPreview）。,RNAPreview
生物医药,RNA二级结构分析工具,数据分析,脚本,可以分析 RNA 的二级结构特征，包括碱基配对、茎区、环区数量与大小。,RNASecondaryStructureAnalysis
生物医药,人源性评估,数据分析,脚本,使用天然抗体库（OASis）中的肽搜索和种系序列同一性来评估抗体的人性。,humanness
生物医药,估计细胞周期各阶段持续时间,数据分析,脚本,基于双核苷（EdU/BrdU）脉冲标记的流式细胞术数据，估算细胞周期各阶段（G1、S、G2/M）的时长，以及细胞死亡率。,cellCyclePhaseDurationEstimation
生物医药,免疫细胞分离与纯化,临床应用,脚本,模拟免疫细胞的分离与纯化流程。,immuneCellIsolationAndPurification
生物医药,蛋白同源结构评估器,数据分析,脚本,集成 BLAST 序列比对与结构相似性分析，用于精准判定蛋白质同源关系与三维结构差异，支持功能预测和修饰位点评估。,proteinAssess
生物医药,蛋白质序列保守性分析工具,数据分析,脚本,可以进行蛋白质多序列比对、系统发育树构建与保守性分析。,proteinSequenceConservationAnalysis
生物医药,蛋白酶动力学分析工具,数据分析,脚本,可以基于荧光读数拟合 Michaelis-Menten 模型分析蛋白酶动力学数据。,proteaseKineticsAnalysis
生物医药,酶动力学分析工具,数据分析,脚本,可以执行酶动力学实验分析，模拟并拟合酶在不同底物浓度下的反应速率。,enzymeKineticsAnalysis
